,sentence1,sentence2
0,新品預購 DR.CINK 4D全方位肌潤星辰限定組,Pre-Order DR.CINK All-Round Repair 4D Revitalizing Moisturizing Lotion Set
1,CHECK2CHECK Kocostar 保濕足膜1對入 3款可選,CHECK2CHECK Kocostar Foot Moisture Pack 3 styles
2,CHECK2CHECK Kocostar 玫瑰水凝膠保濕唇膜 單片入 2款可選,CHECK2CHECK Kocostar Lip Mask 2 Flavors
3,CHECK2CHECK 克絲美 極光星肌面膜 5入/盒,CHECK2CHECK CXMIX Super Hydrating Radiance Mask 5 pcs/box
4,CHECK2CHECK 日本白雪姬 職人軟化小肉芽聰明刷頭凝膠 日用 20g,CHECK2CHECK Tsubuporon Special Care Daytime 20g
5,CHECK2CHECK 日本白雪姬 職人軟化小肉芽柔軟刷頭溫感凝膠 眼周專用 20g,CHECK2CHECK Tsubuporon Eye Essence 20g
6,CHECK2CHECK 日本白雪姬 職人軟化小肉芽角質粒按摩凝膠 20g,CHECK2CHECK Tsubuporon Night Patch Gel 20g
7,CHECK2CHECK Sonoko 鑽石美白霜 80g,CHECK2CHECK Sonoko All-in-one Whitening Gel 80g
8,CHECK2CHECK Pingo Qmini口袋黃金梳 2色可選,CHECK2CHECK Pingo Qmini Golden Pocket Comb 2 Colors
9,CHECK2CHECK Pingo S1星鑽直捲兩用USB無線離子夾 粉色,CHECK2CHECK Pingo S1  2 Way USB Diamond Hair Styler Pink
10,Solone 蘋果肌紅潤腮紅 5色,Solone Plump Cheeks Blush Powder 5 Colors
11,CHECK2CHECK 聲寶SAMPO 負離子直捲兩用造型梳,CHECK2CHECK SAMPO Ionic 2 Way Hair Styler
12,CHECK2CHECK Pingo Lady A9天使棒 晶漾陶瓷加長電棒,CHECK2CHECK Pingo Lady A9 Angel Ceramic Lengthen Hair Curler 26mm/32mm
13,CHECK2CHECK DREAM TREND 陶瓷迷你二合一 直捲兩用電棒夾,CHECK2CHECK DREAM TREND Mini Ceramic 2 Way Hair Styler
14,買2送1 C'est vrai 超好刷雙刷2入組 送刷具乾洗清潔液100ml,Buy 2 Free 1 C'est vrai Powder Brush 2-Pieces-Set Free Brush Cleanser 100ml
15,Solone 天生好手極細三角眉筆 3色,Solone Triangle Eyebrow Pencil 3 Colors
16,CHECK2CHECK LICAI Fabulousity 美原萃果醬酵素 15包/盒,CHECK2CHECK LICAI Fabulousity Daily Essential Purifying Drink 15 pcs/box
17,CHECK2CHECK 2盒組 IVENOR髮秘密防落髮膠囊 30粒/盒 脫髮救星,CHECK2CHECK 2-Boxes-Set IVENOR Hair Loss Supplement 30 pcs/box
18,CHECK2CHECK IVENOR波立王膠囊 30粒/盒,CHECK2CHECK IVENOR Breast Enhancement Capsules 30 pcs/box
19,CHECK2CHECK IVENOR日夜塑崩爆燃代謝組,CHECK2CHECK IVENOR Day And Night Plastic Collapse Deflagration Metabolome
20,Naturero 私密植淨舒涼慕斯 120ml,Naturero 2-in-1 Intimate Cleansing Foam - Soothing & Refreshing(120ml)
21,買2送1 C'est vrai 無瑕粉底遮瑕蜜2件組 送超好刷粉底刷,Buy 2 Free 1 C'est vrai Flawless Foundation+Concealer 2 Pieces-Set Free Foundation Brush
22,C'est vrai 紅玉礦物持久遮瑕蜜 5ml,C'est vrai Long-Lasting Mineral Concealer 5ml
23,聖誕限量4入組 奇蒂可 花紛飛雙層玻璃杯 贈藻土杯墊 2款,4-pieces-set Qidike Christmas Snowman Glass 2 types
24,C'est vrai 刷具乾洗清潔液 100ml,C'est vrai Quick-Dry Brush Cleanser 100ml
25,CHECK2CHECK 超細柔軟萬毛牙刷 平頭/波浪款 2入組,CHECK2CHECK Ultra Soft Million Bristles Toothbrush Plain/Wave 2 colors 2 in 1-set
26,C'est vrai 超好刷系列 蜜粉刷#120,C'est vrai Superb Powder Brush
27,CHECK2CHECK MIT超親膚彈力棉質內搭褲 黑色 S-L,CHECK2CHECK MIT Super Skinny Stretch Cotton Panties Black S-L
28,CHECK2CHECK 下擺不收邊破損長版背心 2色 F,CHECK2CHECK Long Hem Vest 2 colors F
29,韓式作風 iPhone系列 防刮花透明漸變軟邊鋼化玻璃手機殼 3色,rootfocus iPhone Series Anti-Scratch Rugged Glass Screen Protector & TPU Phone Case
30,聖誕限定4入組 奇蒂可 秒吸擴香珪藻土除濕除臭防霉 圖案隨機 多種香味可選 台灣製,4-pieces-set Qidike Diffuser Diatomaceous Earth Christmas season Only (Randomly selected)
31,韓式作風 iPhone系列 文青插圖動物水果花藝腕帶支架手機殼 8色,rootfocus iPhone Series Hipster Painting Phone Case Holder
32,韓式作風 iPhone系列 夜光彩繪防摔鋼化玻璃手機殼 7色,rootfocus iPhone Series Luminous Rugged Glass Screen Protector & TPU Phone Case 7 colors
33,奇蒂可 極度降溫北歐風頂級親膚涼感冰絲椅墊,Qidike Extremely Cool Down Seat Pad
34,韓式作風 iPhone系列 絢麗多彩漸變防滑紋理鋼化玻璃手機殼 6色,rootfocus iPhone Series Rugged Glass Screen Protector & TPU Phone Case
35,beaulace S曲羨浮華特仕版 成套平口馬甲塑身衣 2色,beaulace S Body shaper 2 colors
36,Solone 唇膏唇釉主打雙色組,Solone Rouge Kissable Lip+Chiffon Velvet Lip Set
