,Unnamed: 0,sys_id,product_id,product_name,product_en_name,category,supplier_name,brand_name,keyword,description,data_time,data_status
0,0,1,26567,新品預購 DR.CINK 4D全方位肌潤星辰限定組,Pre-Order DR.CINK All-Round Repair 4D Revitalizing Moisturizing Lotion Set,保養,(Dr.Cink)新高橋生技股份有限公司,DR.CINK,"Cink 4D Lotion,DR.CINK隋棠,保濕精華,保濕露,精華露,小藍瓶,大藍瓶,特潤保濕,特潤小藍,鎖水,Hydrating,Revitalizing,Moisturizing,Lotion,賦活露,賦活精華,保濕噴霧,Moisturizing Spray",4D全方位賦活保濕露200ml+特潤鎖水精華液30ml+升級鎖水精華液30ml 送升級B5水活源肌膚保濕噴霧100ml+ 50ml裸罐隨機+4D全方位賦活保濕露60ml+特潤鎖水精華液4ml+升級鎖水精華液4ml+迷你精華液4ml(白綠咖銀粉隨機2瓶) ．自帶水光肌的化妝水 ．無添加香料/人工色素/礦物油/酒精 ．獨創4D 激發自體水合循環 ．1D 水密封 2D水塑形 3D水通道 4D水豐盈 ．層層開啓肌膚水閥，湧入豐沛水源,2022-10-01,0
1,1,2,26566,CHECK2CHECK Kocostar 保濕足膜1對入 3款可選,CHECK2CHECK Kocostar Foot Moisture Pack 3 styles,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,Kocostar-Pack,Hydrating,Moisturizing,滋潤保濕,韓國足膜,嬰兒肌,精華液,足部保養,精華足膜,Foot Care,Foot Mask,去角質,去角質足膜,Exfoliate","韓國藝人一致好用推薦！ ★Happy Together 綜藝節目~藝人使用後廣受好評！  ★韓國2016最優秀設計大獎！ ★特殊專利防漏設計！ ★添加了蝸牛提取精華，所以有嫩膚功效，其中蘆薈可以保濕水嫩肌膚，還有韓國著名人參成分，亮膚美白，使用完肌膚明顯白亮白許多喔！ ★超方便的足膜 ,腳腕處可以圈起來 ,，讓精華液不會流出來，護足的同時也可以做其他事情唷 ! 在家走來走去也不影響",2022-10-01,0
2,2,3,26565,CHECK2CHECK Kocostar 玫瑰水凝膠保濕唇膜 單片入 2款可選,CHECK2CHECK Kocostar Lip Mask 2 Flavors,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,Kocostar-Pack,Hydrating,Moisturizing,保濕唇膜,唇部保養,淡化唇紋,Lip Mask,Lips Care,嘴唇護理,保濕凝膠,晚安唇膜,Lip Sleeping Mask,膠原蛋白,Collagen",儲水力強的凝膠材質唇膜，根據唇形設計的貼合嘴唇的唇膜。  ★有效促進唇部肌膚血液循環，深層滋潤、舒緩乾燥、改善細紋、起皮、皺裂的嘴唇。  ★通過韓國KOTITI重金屬測試，不含有害成分。  ★蘊含多種植物萃取物及保濕因子，抑制膠原蛋白流失，供給唇部及唇周肌膚水份，持久保濕，使雙唇水潤有彈力，打造水嘟嘟的雙唇，亦能令唇妝更易上色顯色。,2022-10-01,0
3,3,4,26564,CHECK2CHECK 克絲美 極光星肌面膜 5入/盒,CHECK2CHECK CXMIX Super Hydrating Radiance Mask 5 pcs/box,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,Facial Mask,Hydrating,Moisturizing,保養面膜,保濕,鎖水,舒敏,美白,亮白,Whitening,Brightening,敏感肌,Sensitive Skin,粉刺,Ance,暗沉,蠟黃,痘痘,Pimple,緊緻,Firming,Anti-aging,抗老化",．約會救星 超級鎖水 ．舒敏神器 提量法寶 ．天然有機植物萃取 成分安心 ．適用任何膚質(敏感肌、術後、曬傷皆可使用),2022-10-01,0
4,4,5,26563,CHECK2CHECK 日本白雪姬 職人軟化小肉芽聰明刷頭凝膠 日用 20g,CHECK2CHECK Tsubuporon Special Care Daytime 20g,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,肉芽消除,肉芽去除,肉芽保養品,除肉芽,肉芽膏,肉芽藥,肉芽凝膠,肉芽凝霜,清除肉芽,眼周,脂肪粒",,2022-10-01,0
5,5,6,26562,CHECK2CHECK 日本白雪姬 職人軟化小肉芽柔軟刷頭溫感凝膠 眼周專用 20g,CHECK2CHECK Tsubuporon Eye Essence 20g,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,肉芽消除,肉芽去除,肉芽保養品,除肉芽,肉芽膏,肉芽藥,肉芽凝膠,肉芽凝霜,清除肉芽,眼周,脂肪粒",,2022-10-01,0
6,6,7,26561,CHECK2CHECK 日本白雪姬 職人軟化小肉芽角質粒按摩凝膠 20g,CHECK2CHECK Tsubuporon Night Patch Gel 20g,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,肉芽消除,除肉芽,肉芽膏,角質軟化,夜用凝膠,去角質,去角質凝膠,角質去除,角質粒,Exfoliating Gel,角質更新,修護凝膠,修復凝膠,Repairing Gel,角質修復",,2022-10-01,0
7,7,8,26560,CHECK2CHECK Sonoko 鑽石美白霜 80g,CHECK2CHECK Sonoko All-in-one Whitening Gel 80g,保養,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"代謝 Metabolism,C2C,Whitening Cream,亮白,Whitening,保水,新陳代謝,保濕,Hydrating,Moisturizing,皮膚修復,暗沉,乳液,精華,乳霜,Lotion,雀斑,斑點,淡斑,凝膠,Moisturizer",*美白  消除斑點和雀斑的根本原因  增白活性成分“氨甲環酸”抑制黑色素的形成。此外，活性成分“硬脂酰甘草酸酯”為肌膚準備健康環境，使皮膚光滑透亮。  彈性    防止彈性和水分流失  改善皮膚屏障功能的“蜂王漿提取物”和玻尿酸高保濕性的“Shiroiki raga多醣體”可以保護老化的皮膚免受刺激。  新陳代謝    活化皮膚週期  “乳清蛋白”和“墨角蘭精華萃取”會使肌膚柔軟有彈性，促進皮膚週期的活化。 *保濕    維持保濕潤澤力  內含富有礦物質的溫泉水。加速皮膚修復，維持夜晚“魔法時光”的保,2022-10-01,0
8,8,9,26559,CHECK2CHECK Pingo Qmini口袋黃金梳 2色可選,CHECK2CHECK Pingo Qmini Golden Pocket Comb 2 Colors,生活,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C,美髮造型,健康梳,梳子,梳頭,按摩梳,頭皮按摩,Massage,Head Massage,落髮,頭髮打結,頭髮毛躁,抒壓,血液循環,Circulation,迷你梳,輕量梳,Comb,Pocket Comb,Mini Comb,Pingo Combo",工匠技藝手工穿針搭配無毒環保氣墊 純黃金於金屬梳針反覆電鍍三層 讓健康從「頭」開始 台灣製造 純黃金梳針三層電鍍，持久耐用 手柄採用超輕量設計：控制度更高，更加靈活 無毒材質通過標準檢驗 梳針設計，使其更容易穿透髮絲，按摩頭皮 有效的按摩可以幫助去除附著在頭皮上的污垢 透氣孔設計可梳理頭皮亦可輕輕敲打頭皮達到按摩之效果,2022-10-01,0
9,9,10,26558,CHECK2CHECK Pingo S1星鑽直捲兩用USB無線離子夾 粉色,CHECK2CHECK Pingo S1  2 Way USB Diamond Hair Styler Pink,生活,(CHECK2CHECK)美女子有限公司,CHECK2CHECK,"C2C-Curling-Wand,電棒 Curling Wand,離子夾 Straightner,美髮造型,捲髮器,捲髮夾,直髮夾,電熱梳,電棒捲,電棒梳,造型梳,Styling Comb,Ionic Hair Curler,Hair Curler,燙頭髮,燙捲,Curl Hair,內彎","USB充電式無線離子夾輕巧方便，隨充隨用 直捲2in1隨心所欲輕鬆梳理頭髮 亦可直可捲,梳整完成各種喜愛的造型 短、中、長髮、瀏海皆適用 可打造直髮、內彎、捲髮等時尚髮型 LED溫控電量指示燈 3段溫控160℃、180℃、200℃ 3D齒梳受熱更均勻 陶瓷塗層彈浮面板 收納開關鍵 磁吸式充電孔 外出旅遊必備機款",2022-10-01,0
