,search word,count
0,dv,4693
1,snova,4158
2,hh,4132
3,dr.cink,4000
4,dc-anti-ageing,3709
5,unicat,3504
6,churacos,3196
7,drcink-anti-acne,2811
8,kafen,2789
9,dr cink,2578
10,drcink,2388
11,morita,2381
12,hallmark,1985
13,bhk,1674
14,cink,1592
15,cink超導膜,1538
16,dv tokyo,1513
17,alkmene,1494
18,truu,1384
19,cink新品頂粹創生系列,1317
20,dr.morita,1272
21,內米粹外頂粹,1208
22,森田,1087
23,mask,1050
24,shrd,1035
25,sofei,1032
26,double doctor,1031
27,dr morita,953
28,paradiso,943
29,hh私密清潔,814
30,shareco,809
31,面膜,796
32,dd,706
33,drcink-uv-protection-35,665
34,paradiso garden,664
35,greenvines,659
36,us baby,625
37,vigoway,608
38,angellala,605
39,pwp,592
40,cink新品頂粹精華液,591
41,dr.jou,587
42,one boy,562
43,drcink-uv-protection-50,552
44,qmomo,526
45,眼霜,513
46,森田藥妝,483
47,shampoo,476
48,11.11 shopping festival,467
49,moritek,461
50,laler,459
51,sh-rd,458
52,angel lala,446
53,beezin,420
54,jadia,415
55,hair,393
56,kyoto,385
57,drcink-eye-cream,384
58,doubledoctor,365
59,森田藥粧,363
60,?,362
61,送,356
62,somei,351
63,zephyrine,344
64,dc-cosmetics,327
65,shen,324
66,jealousness,323
67,??,319
68,防晒,318
69,dr jou,317
70,森田??,313
71,美白,294
72,大蕁麻,290
73,womens day,281
74,drcink-body-cream,278
75,dr. cink,272
76,ruijia,271
77,bhks,270
78,collagen,270
79,bblab,266
80,eye cream,265
81,極透光柔焦防護cc霜,262
82,double,259
83,a,253
84,kyoto komachi,248
85,dv醇耀妍,245
86,醇耀妍,243
87,dr,240
88,任性eat下,237
89,dr.cink隋棠,229
90,益生菌,226
91,snova 胎盤素逆齡,222
92,drmorita,220
93,即期,219
94,素?霜,218
95,天堂花園,216
96,大研,212
97,打卡錠,211
98,dv-tokyo-series,209
99,香水,205
100,cink-caviar-serum,204
101,hallmark-products,204
102,toner,204
103,jeogseoul,202
104,hair tonic,200
105,userism,199
106,fengjie,194
107,churacos水凝霜,194
108,dr. morita,192
109,flash sale,192
110,卸?,190
111,清,190
112,cc cream,189
113,eye,189
114,瘦身,188
115,ramadan together gather,187
116,618 hot deal,187
117,body lotion,186
118,alkmene-haircare,181
119,babaria,179
120,?原蛋白,179
121,天堂花?,176
122,dv美容飲,175
123,aishitoto,171
124,1838,170
125,私密,169
126,doredore,168
127,lotion,166
128,eye mask,165
129,dore dore,165
130,alkmene hair tonic,163
131,dvtokyo,160
132,relove,159
133,17beauty,154
134,h,153
135,洗?,152
136,unicat變臉貓,152
137,clearance,151
138,naturero,151
139,森田?粧,145
140,churacos-special-offer,142
141,眼膜,140
142,??素,140
143,lead cycle,135
144,健康食妍,133
145,hm-antibacterial,132
146,dore,131
147,bb laboratories,131
148,cleanser,131
149,dvitems,130
150,murfeeli,130
151,hwc,129
152,bb lab,127
153,大研生醫,127
154,calcium,126
155,alkeme,125
156,alkmene shampoo,125
157,妍,125
158,angelala,124
159,jou,123
160,eye serum,123
161,天一愛,122
162,dr.calorie,120
163,teinei,120
164,即,120
165,打卡?,119
166,bra,119
167,nmn,119
168,serum,118
169,染?,118
170,?油,117
171,潘,117
172,sunscreen,114
173,dr calorie,113
174,莎菲亞,113
175,印加果油,111
176,super brand day,111
177,derma-qii,110
178,alkemene,109
179,usbaby,109
180,elvis,107
181,drlady,106
182,阿嬤的配方,106
183,tonic,105
184,hair care,105
185,d3離子植物鈣,104
186,protison,104
187,alkmene養髮液,103
188,contin,103
189,pre sale,103
190,simply,102
191,eileen,102
192,bag,102
193,組,102
194,京都小町,101
195,alkmene-set,101
196,slimming,99
197,derma,99
198,花粹紅妍月適膠囊,99
199,calorie,98
200,17 beauty,98
201,perfume,97
202,hanatsuyu,96
203,酵素,95
204,山丘,95
205,maternea,94
206,klower pandor,94
207,防曬,93
208,angel,93
209,oneboy,93
210,drjou,92
211,ancore,92
212,威客維,90
213,check2check,90
214,hallmark spray,90
215,打卡,90
216,牙膏,90
217,丰胸,90
218,葉黃素,89
219,珍珠粉,89
220,sh rd,89
221,dr. calorie,89
222,fs,88
223,蔓越莓,86
224,us,86
225,dv tokyo soft cream,86
226,sh,85
227,chu,85
228,eileen grace,84
229,晚安推推,84
230,沐浴露,83
231,滴?精,82
232,7th anniversary,82
233,hawooostore,81
234,即期良品,80
235,初時肌,80
236,derma qii,80
237,dr.lady,80
238,天堂,80
239,日安玩美,80
240,blife,79
241,dr lady,79
242,snova-basic-skin-care-series,78
243,chur,78
244,dr cink serum,77
245,chura,77
246,17,77
247,膠原蛋白,76
248,566,76
249,月下珍珠,74
250,greenvine,74
251,beaulace,74
252,保?,74
253,bebe poshe,73
254,618 sale,72
255,alkmenehairproducts,72
256,dr wu,71
257,ex,71
258,家事女王,71
259,去角?,70
260,hair shampoo,69
261,tru,69
262,rm11,69
263,najel,68
264,nature tree,68
265,foundation,68
266,毛毛byebye,68
267,marvis,68
268,fish oil,68
269,眼,67
270,hh貼身衣物手洗精,66
271,feso,66
272,clearance sale,66
273,toothwhitening,65
274,hawooo,65
275,咖啡,64
276,補體素,64
277,玻尿酸,63
278,shareco+厚磅窄版+tee,63
279,木,63
280,木酢,62
281,醇,62
282,限,62
283,rm11限量,62
284,粉底液,61
285,?肥,61
286,june new arrived,61
287,小夫妻,60
288,lead,60
289,dr.morita-products,59
290,tt,59
291,洗?水,59
292,drcink-lotion,59
